data_hora_previsao,dia_previsao,vento,id_usina,id_modelo
2021-01-01T00:00:00Z,1,6.72,1,1
2021-01-01T00:30:00Z,1,6.405,1,1
2021-01-01T01:00:00Z,1,6.09,1,1
2021-01-01T01:30:00Z,1,6.35,1,1
2021-01-01T02:00:00Z,1,6.61,1,1
2021-01-01T02:30:00Z,1,6.58,1,1
2021-01-01T03:00:00Z,1,6.55,1,1
2021-01-01T03:30:00Z,1,6.46,1,1
2021-01-01T04:00:00Z,1,6.37,1,1
2021-01-01T04:30:00Z,1,6.115,1,1
2021-01-01T05:00:00Z,1,5.86,1,1
2021-01-01T05:30:00Z,1,5.915,1,1
2021-01-01T06:00:00Z,1,5.97,1,1
2021-01-01T06:30:00Z,1,6.055,1,1
2021-01-01T07:00:00Z,1,6.14,1,1
2021-01-01T07:30:00Z,1,6.375,1,1
2021-01-01T08:00:00Z,1,6.61,1,1
2021-01-01T08:30:00Z,1,6.495,1,1
2021-01-01T09:00:00Z,1,6.38,1,1
2021-01-01T09:30:00Z,1,6.105,1,1
2021-01-01T10:00:00Z,1,5.83,1,1
2021-01-01T10:30:00Z,1,5.435,1,1
2021-01-01T11:00:00Z,1,5.04,1,1
2021-01-01T11:30:00Z,1,4.64,1,1
2021-01-01T12:00:00Z,1,4.24,1,1
2021-01-01T00:00:00Z,2,7.41,1,1
2021-01-01T00:30:00Z,2,7.015,1,1
2021-01-01T01:00:00Z,2,6.62,1,1
2021-01-01T01:30:00Z,2,6.265,1,1
2021-01-01T02:00:00Z,2,5.91,1,1
2021-01-01T02:30:00Z,2,5.755,1,1
2021-01-01T03:00:00Z,2,5.6,1,1
2021-01-01T03:30:00Z,2,5.39,1,1
2021-01-01T04:00:00Z,2,5.18,1,1
2021-01-01T04:30:00Z,2,5.085,1,1
2021-01-01T05:00:00Z,2,4.99,1,1
2021-01-01T05:30:00Z,2,5.285,1,1
2021-01-01T06:00:00Z,2,5.58,1,1
2021-01-01T06:30:00Z,2,5.8,1,1
2021-01-01T07:00:00Z,2,6.02,1,1
2021-01-01T07:30:00Z,2,5.83,1,1
2021-01-01T08:00:00Z,2,5.64,1,1
2021-01-01T08:30:00Z,2,5.405,1,1
2021-01-01T09:00:00Z,2,5.17,1,1
2021-01-01T09:30:00Z,2,4.925,1,1
2021-01-01T10:00:00Z,2,4.68,1,1
2021-01-01T10:30:00Z,2,4.37,1,1
2021-01-01T11:00:00Z,2,4.06,1,1
2021-01-01T11:30:00Z,2,3.82,1,1
2021-01-01T12:00:00Z,2,3.58,1,1
2021-01-01T00:00:00Z,1,8.56,1,2
2021-01-01T00:30:00Z,1,8.35,1,2
2021-01-01T01:00:00Z,1,8.14,1,2
2021-01-01T01:30:00Z,1,7.925,1,2
2021-01-01T02:00:00Z,1,7.71,1,2
2021-01-01T02:30:00Z,1,7.5,1,2
2021-01-01T03:00:00Z,1,7.29,1,2
2021-01-01T03:30:00Z,1,7.145,1,2
2021-01-01T04:00:00Z,1,7,1,2
2021-01-01T04:30:00Z,1,6.855,1,2
2021-01-01T05:00:00Z,1,6.71,1,2
2021-01-01T05:30:00Z,1,6.565,1,2
2021-01-01T06:00:00Z,1,6.42,1,2
2021-01-01T06:30:00Z,1,6.025,1,2
2021-01-01T07:00:00Z,1,5.63,1,2
2021-01-01T07:30:00Z,1,5.24,1,2
2021-01-01T08:00:00Z,1,4.85,1,2
2021-01-01T08:30:00Z,1,4.455,1,2
2021-01-01T09:00:00Z,1,4.06,1,2
2021-01-01T09:30:00Z,1,4.03,1,2
2021-01-01T10:00:00Z,1,4,1,2
2021-01-01T10:30:00Z,1,3.965,1,2
2021-01-01T11:00:00Z,1,3.93,1,2
